id,smiles,pKi
ZINC000003954487,CN1CCCC[C@@H]1CCN1c2ccccc2Sc2ccc([S@@](C)=O)cc21,8.6
ZINC000003959350,Cc1[nH]c2ccccc2c1C1=CCNCC1,5.82
ZINC000003963815,C[C@@H]1CCc2cc(F)cc3c(CCN)cn1c23,6.57
ZINC000003965841,CN(C)C[C@H]1C[C@@H]2c3cc(F)ccc3Cc3ccc(F)cc3N2O1,7.97
ZINC000003965842,CN(C)C[C@@H]1C[C@@H]2c3ccccc3Cc3ccc(Cl)cc3N2O1,8.46
ZINC000003966376,O=C1Nc2cc(Cl)c(Cl)cc2N2CCNC[C@H]12,7.93
ZINC000003973655,Cc1ccccc1-c1cccc2c1N1CCNCC[C@@H]1C2,6.87
ZINC000003983953,CN1C[C@H](CO)C=C2c3cccc4[nH]cc(c34)C[C@H]21,9.1
ZINC000003986724,COc1cc([C@@H](OC)[C@@H](C)N)c(OC)cc1Br,9.52
ZINC000003986726,COc1cc([C@@H](O)[C@@H](C)N)c(OC)cc1Br,9.3
ZINC000003993837,CC(C)NC(=O)N(C1CCCCCCC1)C1CCN(CCCOc2ccc(F)cc2)CC1,7.1
ZINC000003994229,O=C1C[C@@H](CN2CCC(c3noc4cc(F)ccc34)CC2)Cc2occc21,8.6
ZINC000003994230,O=C1C[C@@H](CN2CCC(C(=O)c3ccc(F)cc3)CC2)Cc2occc21,7.28
ZINC000003995616,CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O,8.37
ZINC000003995923,O[C@H](CCCN1CCN(c2ncc(F)cn2)CC1)c1ccc(F)cc1,6.08
ZINC000004175569,Oc1nc2ccccc2n1CCCN1CCC(n2c(O)nc3cc(Cl)ccc32)CC1,7.96
ZINC000004205253,NC[C@@H]1CC2c3ccccc3C1c1ccccc12,5.02
ZINC000004215367,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@H]1OC,8.96
