id,smiles,pKi
ZINC000006733454,C[C@@H]1CNCCc2c(Cl)cc(Cl)cc21,6.08
ZINC000006733457,C[C@@H]1CNCCc2ccc(Cl)c(Cl)c21,5.74
ZINC000006845963,CCCCCCCCCCCCCCCC[n+]1ccccc1,5.44
ZINC000008717684,COc1ccc(C2=NN3[C@@H](C2)c2cc(Br)ccc2OC32CCN(C)CC2)cc1,5.3
ZINC000008717685,COc1ccc(C2=NN3[C@H](C2)c2cc(Br)ccc2OC32CCN(C)CC2)cc1,5.3
ZINC000008717688,CN1CCC2(CC1)Oc1ccc(Br)cc1[C@@H]1CC(c3ccc(F)cc3)=NN12,7.52
ZINC000008717689,CN1CCC2(CC1)Oc1ccc(Br)cc1[C@H]1CC(c3ccc(F)cc3)=NN12,7.52
ZINC000008717690,CN1CCC2(CC1)Oc1ccc(Br)cc1[C@@H]1CC(c3ccc(Cl)cc3)=NN12,7.0
ZINC000008717691,CN1CCC2(CC1)Oc1ccc(Br)cc1[C@H]1CC(c3ccc(Cl)cc3)=NN12,7.0
ZINC000008717699,Clc1ccc(C2=NN3[C@@H](C2)c2ccccc2OC32CCN(Cc3ccccc3)CC2)cc1,6.46
ZINC000008717700,Clc1ccc(C2=NN3[C@H](C2)c2ccccc2OC32CCN(Cc3ccccc3)CC2)cc1,6.46
ZINC000008817424,CCCN1CCC2(CC1)Oc1ccc(Br)cc1[C@@H]1CC(c3ccc(C)cc3)=NN12,5.3
ZINC000008817425,CCCN1CCC2(CC1)Oc1ccc(Br)cc1[C@H]1CC(c3ccc(C)cc3)=NN12,5.3
ZINC000008817550,CCCN1CCC2(CC1)Oc1ccc(Br)cc1[C@@H]1CC(c3ccc(OC)cc3)=NN12,6.75
ZINC000008817551,CCCN1CCC2(CC1)Oc1ccc(Br)cc1[C@H]1CC(c3ccc(OC)cc3)=NN12,6.75
ZINC000008836253,CCCN1CCC2(CC1)Oc1ccc(Br)cc1[C@@H]1CC(c3ccc(Br)cc3)=NN12,6.1
ZINC000008836255,CCCN1CCC2(CC1)Oc1ccc(Br)cc1[C@H]1CC(c3ccc(Br)cc3)=NN12,6.1
ZINC000008836530,COc1ccccc1C1=NN2[C@@H](C1)c1cc(Br)ccc1OC21CCN(C)CC1,5.3
ZINC000008836531,COc1ccccc1C1=NN2[C@H](C1)c1cc(Br)ccc1OC21CCN(C)CC1,5.3
ZINC000008837187,CN1CCC2(CC1)Oc1ccc(Br)cc1[C@@H]1CC(c3ccccc3Cl)=NN12,6.07
ZINC000008837188,CN1CCC2(CC1)Oc1ccc(Br)cc1[C@H]1CC(c3ccccc3Cl)=NN12,6.07
ZINC000009057645,COc1cccc2c1OC1(CCN(C)CC1)N1N=C(c3ccc(Br)cc3)C[C@H]21,5.89
ZINC000009066655,CN1CCC2(CC1)Oc1ccc(Br)cc1[C@@H]1CC(c3ccccc3OC(F)F)=NN12,6.37
ZINC000009066660,CN1CCC2(CC1)Oc1ccc(Br)cc1[C@H]1CC(c3ccccc3OC(F)F)=NN12,6.37
ZINC000009067107,CN1CCC2(CC1)Oc1ccc(Br)cc1[C@@H]1CC(c3ccc4ccccc4c3)=NN12,5.3
ZINC000009067112,CN1CCC2(CC1)Oc1ccc(Br)cc1[C@H]1CC(c3ccc4ccccc4c3)=NN12,5.3
ZINC000009232664,CN1CCC2(CC1)Oc1ccc(Br)cc1[C@@H]1CC(c3ccc(Cl)c(Cl)c3)=NN12,6.27
ZINC000009232671,CN1CCC2(CC1)Oc1ccc(Br)cc1[C@H]1CC(c3ccc(Cl)c(Cl)c3)=NN12,6.27
ZINC000009301986,CN1CCC2(CC1)Oc1ccc(Br)cc1[C@@H]1CC(c3ccc(OC(F)F)cc3)=NN12,6.76
ZINC000009301987,CN1CCC2(CC1)Oc1ccc(Br)cc1[C@H]1CC(c3ccc(OC(F)F)cc3)=NN12,6.76
ZINC000009397106,CC(C)N1CCC2(CC1)Oc1ccc(Br)cc1[C@@H]1CC(c3ccccc3)=NN12,6.73
ZINC000009397108,CC(C)N1CCC2(CC1)Oc1ccc(Br)cc1[C@H]1CC(c3ccccc3)=NN12,6.73
ZINC000012356079,O=C1C[C@@H](CN2CCN(c3ncccn3)CC2)Cc2occc21,6.01
ZINC000012356081,O=C1C[C@H](CN2CCN(c3ncccn3)CC2)Cc2occc21,6.01
ZINC000012356164,O=C1C[C@@H](CN2CCC(C(=O)c3ccc(F)cc3)CC2)c2ccccc21,6.66
ZINC000012356165,O=C1C[C@H](CN2CCC(C(=O)c3ccc(F)cc3)CC2)c2ccccc21,6.66
ZINC000012356168,O=C(c1ccc(F)cc1)C1CCN(CC[C@@H]2Cc3sccc3C2=O)CC1,7.06
ZINC000012356169,O=C(c1ccc(F)cc1)C1CCN(CC[C@H]2Cc3sccc3C2=O)CC1,7.06
ZINC000012356172,O=C1C[C@@H](CN2CCC(C(=O)c3ccc(F)cc3)CC2)Cc2sccc21,6.88
ZINC000012356173,O=C1C[C@H](CN2CCC(C(=O)c3ccc(F)cc3)CC2)Cc2sccc21,6.88
ZINC000012356209,O=C1C[C@@H](CN2CCC(C(=O)c3ccc(F)cc3)CC2)Cc2ccccc21,7.2
ZINC000012356211,O=C1C[C@H](CN2CCC(C(=O)c3ccc(F)cc3)CC2)Cc2ccccc21,7.2
ZINC000012356214,O=C(c1ccc(F)cc1)C1CCN(CC[C@@H]2CCc3sccc3C2=O)CC1,6.35
ZINC000012356216,O=C(c1ccc(F)cc1)C1CCN(CC[C@H]2CCc3sccc3C2=O)CC1,6.35
ZINC000012356222,O=C(c1ccc(F)cc1)C1CCN(CC[C@@H]2Cc3ccccc3C2=O)CC1,6.43
ZINC000012356224,O=C(c1ccc(F)cc1)C1CCN(CC[C@H]2Cc3ccccc3C2=O)CC1,6.43
